"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",primera_dosis_cantidad,segunda_dosis_cantidad
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",155712,106644
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",53106,22078
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",5366,2439
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",2,0
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",12520,7573
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",76,0
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",5370,2657
"18","Corrientes","COVISHIELD ChAdOx1nCoV COVID 19",531,0
"18","Corrientes","Sputnik V COVID19 Instituto Gamaleya",9610,6319
"14","Córdoba","Sputnik V COVID19 Instituto Gamaleya",46884,21011
"30","Entre Ríos","COVISHIELD ChAdOx1nCoV COVID 19",138,0
"30","Entre Ríos","Sputnik V COVID19 Instituto Gamaleya",13809,8859
"34","Formosa","Sputnik V COVID19 Instituto Gamaleya",3777,3166
"38","Jujuy","COVISHIELD ChAdOx1nCoV COVID 19",110,0
"38","Jujuy","Sputnik V COVID19 Instituto Gamaleya",10427,4333
"42","La Pampa","COVISHIELD ChAdOx1nCoV COVID 19",696,0
"42","La Pampa","Sputnik V COVID19 Instituto Gamaleya",6623,2201
"46","La Rioja","Sputnik V COVID19 Instituto Gamaleya",5348,2684
"50","Mendoza","Sputnik V COVID19 Instituto Gamaleya",15280,9723
"54","Misiones","Sputnik V COVID19 Instituto Gamaleya",8883,4895
"58","Neuquén","COVISHIELD ChAdOx1nCoV COVID 19",439,0
"58","Neuquén","Sputnik V COVID19 Instituto Gamaleya",11496,3525
"62","Río Negro","COVISHIELD ChAdOx1nCoV COVID 19",49,0
"62","Río Negro","Sputnik V COVID19 Instituto Gamaleya",10080,4425
"66","Salta","COVISHIELD ChAdOx1nCoV COVID 19",154,0
"66","Salta","Sputnik V COVID19 Instituto Gamaleya",17405,7451
"70","San Juan","Sputnik V COVID19 Instituto Gamaleya",7537,3556
"74","San Luis","Sputnik V COVID19 Instituto Gamaleya",6869,2848
"78","Santa Cruz","COVISHIELD ChAdOx1nCoV COVID 19",136,0
"78","Santa Cruz","Sputnik V COVID19 Instituto Gamaleya",5944,2160
"82","Santa Fe","COVISHIELD ChAdOx1nCoV COVID 19",1047,1
"82","Santa Fe","Sputnik V COVID19 Instituto Gamaleya",39748,20621
"86","Santiago del Estero","COVISHIELD ChAdOx1nCoV COVID 19",1,0
"86","Santiago del Estero","Sputnik V COVID19 Instituto Gamaleya",7752,5080
"94","Tierra del Fuego","COVISHIELD ChAdOx1nCoV COVID 19",1,0
"94","Tierra del Fuego","Sputnik V COVID19 Instituto Gamaleya",2532,1302
"90","Tucumán","COVISHIELD ChAdOx1nCoV COVID 19",129,0
"90","Tucumán","Sputnik V COVID19 Instituto Gamaleya",16102,9375
